id_proposicao,uri,nome,codTipo,tipo,ordemAssinatura,proponente
2240880,https://dadosabertos.camara.leg.br/api/v2/deputados/160568,Rogério Carvalho,10000,Deputado(a),1,1
2240882,https://dadosabertos.camara.leg.br/api/v2/deputados/160568,Rogério Carvalho,10000,Deputado(a),1,1
2240892,https://dadosabertos.camara.leg.br/api/v2/deputados/204393,Frei Anastacio Ribeiro,10000,Deputado(a),1,1
2240886,https://dadosabertos.camara.leg.br/api/v2/deputados/74082,Paulo Rocha,10000,Deputado(a),1,1
2240883,https://dadosabertos.camara.leg.br/api/v2/deputados/160568,Rogério Carvalho,10000,Deputado(a),1,1
2240894,https://dadosabertos.camara.leg.br/api/v2/deputados/204393,Frei Anastacio Ribeiro,10000,Deputado(a),1,1
2240888,https://dadosabertos.camara.leg.br/api/v2/deputados/141464,José Airton Félix Cirilo,10000,Deputado(a),1,1
2240884,https://dadosabertos.camara.leg.br/api/v2/deputados/160568,Rogério Carvalho,10000,Deputado(a),1,1
2240890,https://dadosabertos.camara.leg.br/api/v2/deputados/141464,José Airton Félix Cirilo,10000,Deputado(a),1,1
2240887,https://dadosabertos.camara.leg.br/api/v2/deputados/141464,José Airton Félix Cirilo,10000,Deputado(a),1,1
2240891,https://dadosabertos.camara.leg.br/api/v2/deputados/141464,José Airton Félix Cirilo,10000,Deputado(a),1,1
2240889,https://dadosabertos.camara.leg.br/api/v2/deputados/141464,José Airton Félix Cirilo,10000,Deputado(a),1,1
2240896,https://dadosabertos.camara.leg.br/api/v2/deputados/74057,Alice Portugal,10000,Deputado(a),1,1
2240893,https://dadosabertos.camara.leg.br/api/v2/deputados/204393,Frei Anastacio Ribeiro,10000,Deputado(a),1,1
2240899,https://dadosabertos.camara.leg.br/api/v2/deputados/160568,Rogério Carvalho,10000,Deputado(a),1,1
2240895,https://dadosabertos.camara.leg.br/api/v2/deputados/204516,Alexis Fonteyne,10000,Deputado(a),1,1
2240903,https://dadosabertos.camara.leg.br/api/v2/deputados/160568,Rogério Carvalho,10000,Deputado(a),1,1
2240897,https://dadosabertos.camara.leg.br/api/v2/deputados/160568,Rogério Carvalho,10000,Deputado(a),1,1
2240904,https://dadosabertos.camara.leg.br/api/v2/deputados/160568,Rogério Carvalho,10000,Deputado(a),1,1
2240898,https://dadosabertos.camara.leg.br/api/v2/deputados/160568,Rogério Carvalho,10000,Deputado(a),1,1
2240909,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240900,https://dadosabertos.camara.leg.br/api/v2/deputados/160568,Rogério Carvalho,10000,Deputado(a),1,1
2240905,https://dadosabertos.camara.leg.br/api/v2/deputados/160568,Rogério Carvalho,10000,Deputado(a),1,1
2240913,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240901,https://dadosabertos.camara.leg.br/api/v2/deputados/160568,Rogério Carvalho,10000,Deputado(a),1,1
2240911,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240917,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240910,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240902,https://dadosabertos.camara.leg.br/api/v2/deputados/160568,Rogério Carvalho,10000,Deputado(a),1,1
2240907,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240916,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240922,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240920,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240906,https://dadosabertos.camara.leg.br/api/v2/deputados/160568,Rogério Carvalho,10000,Deputado(a),1,1
2240921,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240908,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
2240924,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),1,1
