id_votacao,id_deputado,tipoVoto,dataRegistroVoto
2367600-35,156190,Obstrução,2023-09-27T20:15:04
2367600-35,220603,0.0,2023-09-27T20:15:04
2367600-35,160569,0.0,2023-09-27T20:15:03
2367600-35,74160,0.0,2023-09-27T20:14:57
2367600-35,222142,1.0,2023-09-27T20:14:54
2367600-35,220567,0.0,2023-09-27T20:14:52
2367600-35,141456,0.0,2023-09-27T20:14:48
2367600-35,225730,0.0,2023-09-27T20:14:48
2367600-35,74550,0.0,2023-09-27T20:14:47
2367600-35,73778,0.0,2023-09-27T20:14:44
2367600-35,204525,Obstrução,2023-09-27T20:14:44
2367600-35,220640,0.0,2023-09-27T20:14:44
2367600-35,74161,0.0,2023-09-27T20:14:43
2367600-35,141555,0.0,2023-09-27T20:14:43
2367600-35,74075,0.0,2023-09-27T20:14:40
2367600-35,160604,0.0,2023-09-27T20:14:38
2367600-35,220681,0.0,2023-09-27T20:14:37
2367600-35,220593,Abstenção,2023-09-27T20:14:35
2367600-35,160632,0.0,2023-09-27T20:14:33
2367600-35,220623,0.0,2023-09-27T20:14:33
2367600-35,74079,0.0,2023-09-27T20:14:31
2367600-35,220554,0.0,2023-09-27T20:14:26
2367600-35,220673,Obstrução,2023-09-27T20:14:26
2367600-35,220646,0.0,2023-09-27T20:14:21
2367600-35,139285,0.0,2023-09-27T20:14:19
2367600-35,74696,0.0,2023-09-27T20:14:18
2367600-35,220606,0.0,2023-09-27T20:14:17
2367600-35,74454,0.0,2023-09-27T20:14:15
2367600-35,220565,0.0,2023-09-27T20:14:15
2367600-35,220587,0.0,2023-09-27T20:14:15
2367600-35,225727,0.0,2023-09-27T20:14:15
2367600-35,204498,0.0,2023-09-27T20:14:14
2367600-35,220648,0.0,2023-09-27T20:14:12
2367600-35,160640,Obstrução,2023-09-27T20:14:10
2367600-35,161550,Obstrução,2023-09-27T20:14:10
2367600-35,220558,Obstrução,2023-09-27T20:14:10
2367600-35,141487,0.0,2023-09-27T20:14:09
2367600-35,220548,0.0,2023-09-27T20:14:08
2367600-35,98148,0.0,2023-09-27T20:14:06
2367600-35,220579,Obstrução,2023-09-27T20:14:06
2367600-35,220715,0.0,2023-09-27T20:14:04
2367600-35,178896,0.0,2023-09-27T20:14:02
2367600-35,220697,0.0,2023-09-27T20:14:02
2367600-35,74141,0.0,2023-09-27T20:14:01
